No,Finding,Evidence,Classification,Decision,Reason,Confidence
1,Rentang jam generator fixed 07:00-17:00 (interval setengah-terbuka),40_generator_temporal_logic.md; config.py WORK_START/WORK_END,KEEP_AS_IS,Timestamp tidak dimodifikasi pada Tahap 6,Karakteristik parametrik generator; mengubah timestamp merusak integritas data,VHIGH
2,Acuan jam kerja penelitian 08:00-16:00 vs jendela generator 07-17,33_hourly_distribution_detailed.csv; dokumen SOP tidak ditemukan (Tahap 2),CONFLICT_NEEDS_REVIEW,Pakai 08:00-16:00 hanya sbg lensa analisis; wajib konfirmasi SOP instansi sebelum jadi dasar relabel/regenerasi,Dokumen SOP resmi belum tersedia di repository,HIGH
3,Record sebelum jam kerja <08:00 = 1854 (12,36%),33; t3_stats.json,KEEP_AS_IS,Jangan dihapus atau direlabel,Kombinasi karakteristik generator + label bawaan; penghapusan melanggar aturan penelitian,VHIGH
4,Record setelah jam kerja >=16:00 = 1513 (10,09%),33_hourly_distribution_detailed.csv,KEEP_AS_IS,Jangan dihapus,Efek samping batas atas jendela [07-17),VHIGH
5,Distribusi weekday hampir seragam (13,49-15,57% per hari),35_weekday_distribution.csv,KEEP_AS_IS,Pertahankan; dokumentasikan sbg karakteristik simulasi,Konsekuensi tanggal uniform-acak,VHIGH
6,Weekend 4198 record (27,99%),36_workday_weekend_distribution.csv,KEEP_AS_IS,Jangan hapus weekend,Aturan ketat penelitian; proporsi mendekati teoretis 2/7,VHIGH
7,Aktivitas pd 27 tanggal merah terverifikasi = 1124 (7,49%),37_holiday_calendar_audit.csv; SKB 2025 via setkab.go.id,KEEP_AS_IS,Jangan hapus; kalender SKB jadi referensi klasifikasi HOLIDAY,Kalender resmi terverifikasi; aktivitas libur bukan anomali otomatis,VHIGH
8,Weekend + luar jam kerja = 924 (6,16%),39_temporal_matrix.csv,KEEP_AS_IS,Pertahankan sbg kombinasi kontekstual,Tidak ada dasar menjadikannya anomali,VHIGH
9,Holiday + luar jam kerja = 250 (1,67%),39_temporal_matrix.csv,KEEP_AS_IS,idem,idem,VHIGH
10,Label login_luar_jam = 450 seluruhnya jam 00-06,t3_stats.json; anomaly.py,KEEP_AS_IS,Label dipertahankan sbg ground truth generator; tidak ditimpa,Satu-satunya label temporal eksplisit; konsisten dgn definisinya,VHIGH
11,Kosakata 10 aktivitas synthetic vs 33 aksi real tak selaras,50_activity_vocabulary_comparison.csv; grep backend,MUST_FIX,Sinkronkan kamus generator ke aksi backend yang benar-benar terlog saat regenerasi disetujui; interim pakai pemetaan kanonik,Validitas representasi aktivitas memengaruhi langsung makna anomali,HIGH
12,3 aktivitas synthetic tanpa padanan real (Dashboard,Lihat Perkara,Kelola Kode Klasifikasi),50; tidak ada createAuditLog utk aksi tsb,SHOULD_FIX,Ganti/hilangkan dr generasi berikutnya ATAU tambahkan logging aplikasi (keputusan terpisah),Aktivitas fiktif dlm data latihan menyesatkan interpretasi,HIGH
13,Modul Peminjaman (7 aksi) tidak terepresentasi synthetic,50; flows.py,SHOULD_FIX,Tambahkan workflow peminjaman pada regenerasi,Modul inti sistem; label peminjaman_massal tanpa konteks peminjaman nyata,HIGH
14,Keamanan akun 2FA/reset password (5 aksi) absen dr synthetic,50_activity_vocabulary_comparison.csv,SHOULD_FIX,Tambahkan pd regenerasi,Keluarga aksi sensitif relevan utk deteksi anomali,MEDIUM
15,Kelola lemari/rak + retensi/status arsip absen,50_activity_vocabulary_comparison.csv,SHOULD_FIX,Tambahkan pd regenerasi,Melengkapi cakupan operasional,MEDIUM
16,Pemetaan semantik 7 pasangan (Login->LOGIN_SUCCESS dll),50; preprocessing_contract.py,KEEP_AS_IS,Pertahankan & dokumentasikan sbg bagian kontrak,Menjembatani dua kosakata tanpa mengubah data,HIGH
17,POTENSI_ANOMALI_HASH_BERKAS & VERIFIKASI_INTEGRITAS_BERKAS tak ada di synthetic,54; 57,SHOULD_FIX,Masukkan keluarga aksi integritas pd regenerasi,Aksi kritis hasil audit Tahap 4,MEDIUM
18,user_id sbg fitur numerik mentah,48; preprocessing.py FEATURE_COLUMNS,NEEDS_VERIFICATION,Pertahankan kontrak v1; tinjau risiko identity-leakage sebelum v2,Encoder bergantung snapshot users dev; makna numerik arbitrer,MEDIUM
19,activity (encoded) kualitas baik kedua sisi setelah mapping,48; 50,KEEP_AS_IS,Pertahankan,Fitur inti perilaku,HIGH
20,status - Berhasil/Gagal vs SUCCESS/VALID,48; 50,KEEP_AS_IS,Pertahankan dgn mapping kanonik,Fitur inti perilaku,HIGH
21,device - real 333/337 'unknown',27_synthetic_real_comparison.csv; default auditLogService,SHOULD_FIX,Perbaiki pengambilan User-Agent di aplikasi; JANGAN imputasi nilai palsu; fitur tetap,Kualitas real buruk tapi fitur relevan,HIGH
22,ip_address - real 333/337 'unknown',58_real_audit_log_integrity_profile.csv; getAuditContext fallback unknown,SHOULD_FIX,Ekstrak IP klien asli di middleware; tanpa fabrikasi; fitur tetap,idem,HIGH
23,duration_ms - real seluruhnya 0,58; default parameter createAuditLog,SHOULD_FIX,Ukur durasi nyata di middleware sebelum ekstraksi; tanpa sintesis angka; fitur tetap,Fitur tanpa dasar empiris saat ini,HIGH
24,object_count - real seluruhnya 1,58_real_audit_log_integrity_profile.csv,SHOULD_FIX,Kaitkan ke fakta transaksi (jumlah item); tanpa fabrikasi; fitur tetap,idem,HIGH
25,hour & day_of_week turunan timestamp,preprocessing.py,KEEP_AS_IS,Pertahankan,Turunan deterministik & valid,VHIGH
26,file hash SHA-256 (berkas.hash_sha256),54; 56,NOT_RELEVANT_TO_VAE,Tetap di integrity subsystem; atribut pendukung dataset bila dibutuhkan,Hash integrity detection != VAE anomaly detection (56),VHIGH
27,Audit log hash chain prev/current hash,55_hash_chain_flow.md,NOT_RELEVANT_TO_VAE,idem,Rantai jejak audit bukan sinyal perilaku,VHIGH
28,path/nama_file,52_path_usage_audit.csv; schema berkas,NOT_RELEVANT_TO_VAE,Atribut pendukung saja,Identitas objek berisiko leakage & tak informatif utk VAE,VHIGH
29,target_tipe/target_id,51; 58 (100% terisi di real),SHOULD_FIX,Masukkan target_tipe kategorikal sbg atribut pendukung pd regenerasi; target_id referensi non-fitur,Objek logis hadir 100% di real tapi absen di synthetic,HIGH
30,Fungsi dataset synthetic,14_dataset_baseline_report.md; 03_actual_vae_data_flow.md,KEEP_AS_IS,Tetap training baseline v1 dgn dokumentasi keterbatasan simulasi,Pipeline aktif dibangun di atasnya; 15000 baris cukup utk VAE,HIGH
31,Fungsi real 337 record,42_temporal_comparison_analysis.md; 58; dominasi trafik uji,DO_NOT_FIX,JANGAN dipakai training; tetapkan sbg external validation/behavioral reference/schema validation,Terlalu kecil & tercemar trafik otomatis; training dgn data ini merusak metodologi,HIGH
32,anomaly_type/risk_level/is_anom,preprocessing.py membuang kolom label; 48,DO_NOT_FIX,Wajib tetap dikeluarkan dr fitur; gunakan hanya utk evaluasi,Target leakage jika masuk fitur,VHIGH
33,skor_anomali/tingkat_risiko (laporan_anomali),schema laporan_anomali; AI callback auditLogService.js:101-133,DO_NOT_FIX,Post-event output; tidak boleh jadi input training,Merupakan hasil model bukan penyebab,VHIGH
34,docs/VAE_ARCHITECTURE.md sebut 10 fitur vs kode 9 fitur,13_consistency_audit.md; inference.py:26,CONFLICT_NEEDS_REVIEW,Kode = sumber kebenaran operasional; revisi dokumen di luar Tahap 6 atau tandai usang,Konflik desain-vs-implementasi terverifikasi Tahap 1,VHIGH
35,Klaim Stage5 localhost=329 vs faktual mayoritas IP 'unknown',12_stage5_claim_verification.csv,CONFLICT_NEEDS_REVIEW,Gunakan angka audit; tandai laporan lama tidak akurat,Verifikasi empiris menunjukkan klaim keliru,VHIGH
36,Output jam kerja Tahap2 (bucket 07-07:59 terpisah) vs Tahap4 (<08:00 gabung),21_working_hour_comparison.csv vs 41_temporal_synthetic_vs_real.csv,CONFLICT_NEEDS_REVIEW,Dokumentasikan sbg perbedaan presentasi bucket; total identik (1854); bandingkan hanya dlm definisi sama,Bukan konflik data - hanya granularitas kolom,HIGH
37,Missing values synthetic=0; real hash_sebelumnya NULL 1 baris,05_quality_audit.csv; 58_real_audit_log_integrity_profile.csv,KEEP_AS_IS,NULL kepala rantai sah; tidak diimputasi,Struktur rantai bukan missing problem,VHIGH
38,Duplikat persis belum diaudit eksplisit,(tidak ada output audit duplikat),NEEDS_VERIFICATION,Lakukan scan duplikat persis sblm implementasi bila diperlukan; multi-event sesi sah,Belum ada evidence khusus duplikat,LOW
39,Rentang durasi/object_count/IP/device synthetic kaya tapi tanpa padanan empiris,27_synthetic_real_comparison.csv,KEEP_AS_IS,Pertahankan distribusi synthetic v1; perbaiki di sumber aplikasi utk v2,Menghapus variasi merusak utilitas latihan; memalsu nilai dilarang,HIGH
40,Kalender libur real 2026 tidak tersedia (dataset real beda tahun dr kalender SKB 2025),42; 37_holiday_calendar_audit.csv,NEEDS_VERIFICATION,Klasifikasi HOLIDAY hanya utk synthetic 2025; real 2026 butuh kalender tersendiri,Sumber kalender 2026 belum dicari/diverifikasi,MEDIUM
