gap,evidence,impact,recommendation,confidence
aktivitas synthetic tanpa padanan real (Dashboard, Lihat Perkara, Kelola Kode Klasifikasi),19_activity_sop_validation.csv; tidak ada createAuditLog untuk aksi tersebut di backend/controllers,3 dari 10 aktivitas synthetic tidak pernah terekam di sistem nyata - model belajar pola yang mustahil muncul di operasional,Pilih: tambahkan logging aksi baca di backend ATAU ganti aktivitas synthetic dengan aktivitas yang benar-benar terlog,HIGH (grep kode + DB)
aktivitas real tanpa representasi synthetic (siklus Peminjaman 7 aksi; keamanan akun 2FA/reset 5 aksi; kelola lemari/rak 6 aksi; retensi & keputusan anomali),19_activity_sop_validation.csv; flows.py hanya punya 10 workflow,Modul inti peminjaman dan keamanan tidak terwakili dalam training VAE,Tambahkan workflow Peminjaman/2FA/sarana pada generator atau sumber dataset baru,HIGH
durasi_ms real semuanya 0 (aplikasi tidak mengukur durasi),27_synthetic_real_comparison.csv; auditLogService.js default durasiMs=0 dan pemanggil tidak mengirim durasi,Fitur duration_ms VAE sepenuhnya sintetis; skor anomali atas data real akan bias pada fitur ini,Ukur durasi nyata di middleware ATAU keluarkan fitur ini dari kontrak,VHIGH
object_count/jumlah_objek real semuanya 1 (default),db_check.json + 27_synthetic_real_comparison.csv,Fitur object_count juga tanpa dasar nyata; skenario peminjaman_massal/verifikasi_massal tak berdasar,Kaitkan jumlah_objek ke data faktual (mis. jumlah item dalam aksi) sebelum dipakai,VHIGH
ip_address real 333/337 'unknown',db_check.json top_ip; auditLogService.js default ipAddress='unknown',Fitur ip_address tidak informatif pada data real; klaim Stage-5 'localhost=329' menyesatkan karena unknown ikut dihitung localhost,Ekstrak IP klien asli (req.ip / X-Forwarded-For) di middleware sebelum ekstraksi dataset,VHIGH
device real didominasi 'unknown' + UA axios,db_extra_check (Tahap 1); auditLogService.js default device='unknown',Fitur device tidak merepresentasikan perangkat pengguna,Kirim User-Agent asli dari frontend/Electron saat memanggil API,VHIGH
generator tidak memperhitungkan hari kerja/weekend/tanggal merah,18_generator_behavior_analysis.md butir 12-14,Profil waktu dataset tidak mencerminkan kalender kerja instansi,Sertakan kalender kerja sebagai parameter generator pada tahap perbaikan,HIGH
jendela jam generator 07-17 vs SOP 08-16 (belum terverifikasi SOP),config.py WORK_START=7 WORK_END=17 vs instruksi penelitian,Distribusi jam dataset tidak selaras dengan klaim jam kerja 08.00-16.00,Konfirmasi jam kerja resmi lalu samakan parameter generator,HIGH (parameter) / NEEDS_VERIFICATION (SOP)
dokumen SOP tidak ditemukan di repository,penelusuran *.md/*.txt/docs = nihil,Validasi SOP hanya bisa berbasis source code; status banyak baris NEEDS_VERIFICATION,Masukkan dokumen SOP ke repository atau rujukkan sumber resmi lain,MEDIUM
tidak ada sumber kalender tanggal merah di project,25_holiday_analysis.md,Analisis holiday_status UNKNOWN untuk kedua dataset,Sediakan daftar libur resmi (2025 & tahun berjalan) dengan sumber terdokumentasi,HIGH
kosakata aktivitas/status berbeda synthetic vs produksi (Login vs LOGIN_SUCCESS; Berhasil/Gagal vs SUCCESS/VALID),08_activity_distribution.csv Tahap 1; preprocessing_contract.py,Pemetaan kanonik menyelamatkan inference tetapi raw dataset dua dunia berbeda; risiko kelas tak terpetakan,Standarkan kosakata log produksi atau turunkan dataset synthetic dari kamus aksi backend,HIGH
label anomaly_type/risk_level hanya ada di synthetic dan dibuang saat preprocessing,preprocessing.py:48-50,Evaluasi kuantitatif (precision/recall) harus memakai label sintetis yang definisinya = aturan generator itu sendiri,Dokumentasikan eksplisit bahwa metrik evaluasi bersifat in-sample generator,MEDIUM
user synthetic mencakup akun uji (mis. audit_arsiparis_e2e) dari database dev,09_actor_distribution.csv Tahap 1,Dataset memodelkan user non-operasional,Gunakan daftar user operasional saat regenerasi,MEDIUM
data real terlalu kecil & didominasi traffic pengujian (337 baris; malam hari signifikan; Jumat=0),21/22 CSV; db_extra_check,Aktivitas real belum layak jadi baseline distribusi,Kumpulkan periode operasional lebih panjang setelah perbaikan logging IP/device/durasi,HIGH
atribut integritas berkas (hash chaining) tidak masuk ruang fitur dataset mana pun,11_file_integrity_audit.csv Tahap 1,Rantai hash hanya alat verifikasi DB; VAE tidak melihat dimensi integritas berkas,Jika diinginkan sebagai fitur/evaluasi tambahan perlu desain skema ekspor baru - putuskan di tahap perbaikan,MEDIUM
